ngram	frequency	ngram_length
V	361923	1
Z	337347	1
K	308226	1
VZ	288597	2
ZV	281913	2
KV	250540	2
VK	214835	2
G	179883	1
VZV	155142	3
KVZ	148597	3
ZVK	129956	3
ZVZ	129826	3
GV	128884	2
VKV	116171	3
KK	103791	2
VG	102934	2
ZK	83364	2
KZ	80763	2
KKV	76362	3
VZK	74609	3
GVZ	73045	3
KZV	71669	3
KVK	70080	3
ZZ	67956	2
VKK	65428	3
VGV	61711	3
ZZV	58312	3
VZZ	57432	3
VV	56315	2
ZVG	53271	3
ZKV	46273	3
GZ	44042	2
GZV	38386	3
ZG	37766	2
VZG	33848	3
GVK	33135	3
VKZ	30981	3
VVZ	26019	3
KVG	25449	3
ZGV	24081	3
VGZ	23938	3
ZKK	23919	3
ZVV	23816	3
X	20649	1
KVV	18381	3
Y	16323	1
VVK	15006	3
KKZ	13689	3
GVG	12939	3
VX	12527	2
GK	12210	2
XV	11194	2
GVV	10863	3
GG	10100	2
VGK	8741	3
GGV	7739	3
VVG	7569	3
VGG	7390	3
KKK	7267	3
GKV	6732	3
ZKZ	6491	3
ZVX	6482	3
KZZ	5062	3
KG	4956	2
VY	4911	2
XVZ	4825	3
ZY	4616	2
ZGZ	4217	3
ZZK	3918	3
VXV	3812	3
KY	3796	2
YZ	3669	2
ZZZ	3454	3
YV	3454	2
KVX	3249	3
GZZ	3180	3
KGV	3132	3
XVV	2646	3
VKG	2638	3
YK	2568	2
ZVY	2481	3
ZGK	2414	3
KZK	2370	3
VVV	2310	3
GKK	2167	3
XVK	1902	3
GY	1890	2
GKZ	1879	3
VZY	1844	3
YZV	1831	3
GGZ	1664	3
KX	1615	2
XK	1547	2
YVZ	1489	3
VYV	1436	3
KXV	1400	3
GVX	1387	3
N	1347	1
ZX	1223	2
KKY	1212	3
NN	1203	2
KZG	1194	3
KVY	1170	3
ZYZ	1144	3
VXK	1139	3
KYZ	1119	3
ZKG	978	3
GZK	968	3
ZXV	947	3
YG	946	2
YKV	922	3
VZX	916	3
ZGG	911	3
XZ	868	2
YKK	859	3
P	856	1
GZG	829	3
ZYK	818	3
ZZG	795	3
NNN	790	3
XKV	766	3
KYK	734	3
VVX	733	3
ZZY	727	3
VKY	715	3
VYZ	712	3
YVK	684	3
KZY	670	3
GVY	641	3
KKG	641	3
XVG	620	3
YGV	605	3
XZV	588	3
YZK	586	3
ZYV	574	3
VXZ	544	3
VGY	537	3
GX	503	2
GYZ	495	3
VKX	484	3
VYK	482	3
YZZ	460	3
NP	453	2
ZKY	449	3
KGZ	448	3
XKK	442	3
GXV	432	3
KKX	430	3
GYK	392	3
GZY	388	3
ZGY	374	3
PN	328	2
NPN	328	3
NNP	326	3
YZG	320	3
KGK	299	3
YKZ	296	3
ZYG	295	3
XY	290	2
YVV	283	3
KYV	283	3
KYG	272	3
XVY	249	3
XX	247	2
XG	211	2
YVG	208	3
VYG	203	3
KGY	201	3
GYV	194	3
VGX	185	3
GKG	184	3
GGK	182	3
PNN	180	3
GGY	171	3
YGZ	167	3
VXG	160	3
VP	155	2
ZGX	154	3
ZKX	152	3
VVY	149	3
XGV	146	3
XKZ	146	3
ZP	141	2
XVX	139	3
XXV	136	3
YX	135	2
XYZ	110	3
VXY	101	3
GYG	100	3
YXV	99	3
YY	96	2
XXX	94	3
YKG	91	3
ZZX	88	3
ZXX	87	3
VVP	83	3
GGG	81	3
KZX	80	3
KGG	77	3
ZYX	77	3
VXX	67	3
XXZ	63	3
XYK	62	3
YZY	59	3
YGG	58	3
GKY	57	3
XP	53	2
ZXZ	49	3
XZK	48	3
