ngram	frequency	ngram_length
C	363722	1
V	361923	1
CV	358502	2
VC	356607	2
CVC	336237	3
CC	274436	2
CCV	253235	3
VCC	240896	3
VCV	240852	3
CCC	72594	3
VV	56315	2
CVV	51486	3
VVC	47341	3
X	20649	1
Y	16323	1
VX	12527	2
XV	11194	2
CVX	11058	3
CY	10123	2
XVC	7301	3
YC	7065	2
CYC	5253	3
VY	4911	2
CVY	4276	3
CCY	4216	3
VXV	3812	3
YV	3454	2
YCV	3355	3
CX	3329	2
VCY	3090	3
YCC	2869	3
CXV	2769	3
XVV	2646	3
XC	2609	2
YVC	2373	3
VVV	2310	3
VXC	1830	3
VCX	1585	3
XCV	1498	3
VYV	1436	3
VYC	1394	3
N	1347	1
NN	1203	2
CYV	1044	3
CCX	963	3
P	856	1
NNN	790	3
XCC	741	3
VVX	733	3
NP	453	2
PN	328	2
NPN	328	3
NNP	326	3
XY	290	2
YVV	283	3
XVY	249	3
XX	247	2
CP	197	2
XYC	194	3
CXC	184	3
PNN	180	3
VP	155	2
VVY	149	3
XVX	139	3
XXV	136	3
YX	135	2
CXX	130	3
CYX	115	3
VXY	101	3
YCY	100	3
YXV	99	3
CCP	97	3
YY	96	2
XXX	94	3
VVP	83	3
XXC	69	3
CN	68	2
VXX	67	3
CYY	66	3
VCP	58	3
CXY	57	3
XP	53	2
YYC	49	3
XYV	46	3
CVP	45	3
VN	37	2
XCY	34	3
CNN	33	3
CCN	29	3
VXP	28	3
YCX	28	3
YVX	26	3
YVY	26	3
PC	25	2
YYV	24	3
XCP	23	3
CPC	21	3
VNN	21	3
YXC	20	3
XVP	19	3
PCV	19	3
CVN	18	3
VYX	17	3
VYY	16	3
CXP	15	3
PCP	15	3
F	11	1
NC	10	2
FC	10	2
XXP	9	3
XCX	9	3
XN	6	2
CF	6	2
PV	5	2
CPV	5	3
CFC	5	3
VPC	4	3
VCF	4	3
CNC	4	3
YYY	4	3
XYY	4	3
NNC	3	3
NX	3	2
NXN	3	3
FCC	3	3
CCF	3	3
PCC	3	3
PVC	3	3
PVP	2	3
VCN	2	3
PX	2	2
CPX	2	3
PXV	2	3
VXN	2	3
XNN	2	3
VVN	2	3
YF	2	2
YFC	2	3
NCN	2	3
FCF	2	3
YXY	2	3
VPV	1	3
FX	1	2
CFX	1	3
XXY	1	3
CYF	1	3
XCN	1	3
