ngram	frequency	ngram_length
a	222258	1
e	196807	1
i	194130	1
r	172805	1
o	171725	1
n	169893	1
t	130268	1
l	120897	1
s	119972	1
k	100137	1
v	81831	1
m	72711	1
d	70647	1
p	68925	1
u	64954	1
j	62527	1
c	58767	1
b	52651	1
g	49595	1
an	46776	2
en	42223	2
h	41065	1
z	39323	1
ra	36791	2
ti	35683	2
č	35543	1
er	35035	2
in	32136	2
ar	32008	2
st	31429	2
re	28182	2
ov	26588	2
ri	26542	2
š	25548	1
at	25532	2
no	24636	2
ni	24587	2
al	23703	2
ko	22978	2
le	22370	2
ka	21760	2
f	21688	1
li	21622	2
ro	21505	2
te	21340	2
la	21180	2
je	20850	2
na	20657	2
ne	20302	2
el	20047	2
sk	19874	2
on	19753	2
or	19518	2
ma	19464	2
ja	19019	2
ki	18821	2
os	17650	2
po	17462	2
ta	17373	2
it	16683	2
to	16508	2
ol	16274	2
ev	16130	2
pr	15868	2
va	15682	2
et	15542	2
vi	15256	2
lo	15005	2
ve	14428	2
de	14389	2
es	14271	2
ati	13865	3
is	13802	2
y	13730	1
tr	13590	2
ir	13500	2
ič	13153	2
me	13034	2
as	12681	2
nj	12497	2
ž	12392	1
av	12132	2
ic	12051	2
ik	12051	2
se	11959	2
ca	11942	2
il	11536	2
lj	11028	2
ski	10984	3
mi	10941	2
če	10837	2
ij	10739	2
od	10723	2
nt	10615	2
am	10590	2
di	10588	2
ek	10451	2
mo	10228	2
ba	10143	2
be	9994	2
za	9944	2
ha	9808	2
ad	9747	2
do	9708	2
sa	9666	2
pe	9580	2
ed	9500	2
pa	9490	2
w	9366	1
om	9292	2
ot	9282	2
ec	9187	2
ur	9056	2
ak	8973	2
em	8951	2
ost	8886	3
ci	8776	2
ch	8704	2
da	8664	2
si	8650	2
vo	8596	2
ga	8564	2
ns	8307	2
aj	8302	2
nje	8210	3
iz	8095	2
nd	8052	2
go	7891	2
so	7810	2
op	7746	2
bo	7621	2
ran	7470	3
ac	7396	2
ob	7204	2
iv	7168	2
pre	7133	3
br	7127	2
ll	7098	2
ira	7063	3
rs	6992	2
ng	6907	2
kr	6809	2
ge	6740	2
pi	6730	2
bi	6637	2
he	6622	2
ia	6567	2
rt	6480	2
gr	6412	2
anj	6409	3
iti	6301	3
us	6275	2
ke	6219	2
rn	6200	2
ok	6199	2
ce	6194	2
az	6122	2
ho	6080	2
im	6050	2
zi	6011	2
ija	6009	3
og	5969	2
io	5939	2
un	5859	2
ie	5854	2
dr	5848	2
ag	5751	2
ča	5743	2
