ngram	ngram_length
ZY	2
ZVY	3
Z	1
VZ	2
ZZY	3
VVZ	3
VZY	3
GY	2
KY	2
YVZ	3
GK	2
ZVZ	3
ZVV	3
VZG	3
KV	2
ZG	2
VKV	3
KVV	3
KKY	3
VGK	3
KKK	3
ZV	2
GGY	3
KG	2
ZGK	3
VVG	3
VVK	3
ZGY	3
XZ	2
VXZ	3
VK	2
ZVK	3
ZZV	3
YZZ	3
YZ	2
VKY	3
GKK	3
VKG	3
VZK	3
XVZ	3
KVZ	3
ZK	2
YZV	3
YG	2
VYG	3
ZKG	3
KVY	3
VGY	3
GVV	3
ZKK	3
G	1
VZZ	3
ZZ	2
XVK	3
ZKY	3
VYZ	3
KZV	3
ZKV	3
KKZ	3
ZX	2
YKV	3
VZX	3
YZK	3
KGY	3
XK	2
ZYZ	3
VXK	3
XVG	3
KZ	2
K	1
KVK	3
VKZ	3
GVY	3
YZG	3
VZV	3
KVX	3
VKK	3
ZVG	3
GZV	3
ZVX	3
GVK	3
KKV	3
ZGZ	3
GGV	3
ZZK	3
GZ	2
VGV	3
GVZ	3
GG	2
VGG	3
KK	2
GVX	3
GKV	3
