ngram	ngram_length
YZ	2
ZY	2
YZV	3
ZVY	3
XVZ	3
KY	2
ZYZ	3
GY	2
ZZY	3
YVZ	3
VZY	3
VVZ	3
VKV	3
XVK	3
VYZ	3
YK	2
KX	2
KXV	3
KYZ	3
GYZ	3
VK	2
KVV	3
YZK	3
ZVK	3
XZ	2
XK	2
KKY	3
YG	2
GX	2
XVG	3
ZVV	3
XKV	3
GXV	3
XZV	3
KG	2
VXZ	3
VXK	3
ZX	2
YZZ	3
YGV	3
VZX	3
KVY	3
YKV	3
KKX	3
VG	2
VVK	3
KZ	2
ZV	2
GGY	3
ZXV	3
GVY	3
VZ	2
ZVG	3
KZV	3
VZV	3
ZKG	3
ZYV	3
YKK	3
ZVX	3
KYK	3
VGX	3
VGV	3
VYG	3
VKX	3
VZG	3
KKK	3
GVV	3
KGV	3
KZY	3
VYK	3
VKY	3
VGY	3
ZYG	3
ZGX	3
GYK	3
KVX	3
VKZ	3
VGZ	3
KVK	3
GVX	3
ZGY	3
YZG	3
VKG	3
KK	2
KKV	3
KGK	3
GZY	3
KYG	3
VVG	3
GZ	2
ZG	2
YVK	3
KGY	3
ZKY	3
YKZ	3
ZGK	3
KGG	3
ZYK	3
YGZ	3
GZV	3
KV	2
KVG	3
GVK	3
ZZX	3
ZXZ	3
XG	2
XGV	3
KKG	3
KZZ	3
GVG	3
K	1
GGK	3
GKY	3
PZ	2
PZV	3
VPZ	3
XKK	3
ZKX	3
ZYX	3
Z	1
GZZ	3
VKK	3
ZZZ	3
ZZV	3
VGK	3
KGZ	3
YVG	3
GYV	3
VXG	3
XYZ	3
YKG	3
YYZ	3
GYY	3
GXZ	3
GXY	3
VZK	3
GV	2
G	1
GGZ	3
GKG	3
KZK	3
GVZ	3
GKZ	3
ZKK	3
KVZ	3
VZZ	3
ZK	2
KZG	3
KKZ	3
GZK	3
GZG	3
ZKZ	3
ZGV	3
ZKV	3
ZZK	3
GKV	3
ZGZ	3
