ngram	ngram_length
XVZ	3
KKK	3
KY	2
ZY	2
GY	2
ZVX	3
KVX	3
ZVY	3
KYZ	3
ZYZ	3
KVV	3
GYZ	3
XVK	3
XVG	3
GVX	3
GVV	3
KVY	3
ZKG	3
GVY	3
VZX	3
GYK	3
VVK	3
XK	2
XKV	3
ZYV	3
YVZ	3
KZ	2
KX	2
KXV	3
GZY	3
ZYG	3
KYG	3
KZV	3
KYK	3
VGX	3
ZVV	3
KK	2
VG	2
VZY	3
VXK	3
GX	2
KKV	3
VVZ	3
XZ	2
XZV	3
GXV	3
VVG	3
ZVG	3
KZY	3
VPZ	3
XG	2
XGV	3
VGZ	3
VGK	3
VK	2
KVG	3
VZZ	3
VKV	3
GVG	3
ZZ	2
KG	2
KGV	3
GK	2
GKV	3
YK	2
YVK	3
VXZ	3
YVG	3
YKG	3
GYY	3
GXY	3
ZV	2
ZKK	3
KVK	3
Z	1
ZVZ	3
VKZ	3
ZZV	3
VGV	3
KZZ	3
G	1
GV	2
ZG	2
GG	2
KZK	3
ZKV	3
VGG	3
GGV	3
VZK	3
ZZK	3
GZZ	3
GGZ	3
VZV	3
GZG	3
GZK	3
GVZ	3
ZGV	3
KKZ	3
KZG	3
KV	2
ZGZ	3
GVK	3
