ngram	ngram_length
y	1
w	1
ch	2
ll	2
ss	2
nn	2
th	2
wa	2
tt	2
co	2
rr	2
ell	3
wi	2
sch	3
ey	2
h	1
ry	2
son	3
we	2
x	1
che	3
lli	3
ie	2
ill	3
ay	2
ck	2
ph	2
ann	3
ich	3
ff	2
llo	3
sso	3
ly	2
ow	2
all	3
cha	3
wo	2
sc	2
err	3
au	2
ew	2
ye	2
ach	3
arr	3
ü	1
he	2
enn	3
sh	2
lla	3
gh	2
cho	3
ott	3
ssi	3
nne	3
tz	2
ö	1
oy	2
ley	3
oll	3
oss	3
er	2
pp	2
itt	3
sse	3
lle	3
ett	3
ov	2
rri	3
att	3
erj	3
c	1
yn	2
ny	2
chi	3
č	1
jev	3
so	2
cc	2
aw	2
gg	2
ai	2
ei	2
ha	2
cas	3
ty	2
rre	3
ass	3
nie	3
k	1
lie	3
tte	3
q	1
iss	3
ess	3
nov	3
cl	2
the	3
ex	2
ath	3
ti	2
con	3
yl	2
sov	3
ier	3
ee	2
yo	2
mc	2
ick	3
eld	3
oo	2
ya	2
qu	2
kh	2
com	3
ack	3
ue	2
cr	2
col	3
car	3
her	3
aa	2
mm	2
ein	3
p	1
ld	2
sha	3
ock	3
cor	3
z	1
t	1
iel	3
har	3
aus	3
ger	3
nj	2
š	1
tti	3
ers	3
on	2
ea	2
cke	3
ys	2
ech	3
ka	2
pr	2
ou	2
hi	2
j	1
sb	2
ton	3
ssa	3
zz	2
ati	3
que	3
i	1
nje	3
ham	3
st	2
ico	3
ost	3
lj	2
en	2
ono	3
če	2
ž	1
a	1
at	2
ra	2
hen	3
ä	1
po	2
hm	2
ge	2
rje	3
ja	2
ing	3
va	2
ct	2
ng	2
os	2
ič	2
ko	2
anj	3
ho	2
sy	2
shi	3
ard	3
nos	3
ald	3
ik	2
ler	3
bur	3
ek	2
ije	3
pre	3
bac	3
hol	3
iti	3
ky	2
sz	2
ws	2
and	3
man	3
hin	3
hel	3
na	2
za	2
vo	2
ni	2
it	2
aj	2
ber	3
av	2
iz	2
ui	2
ira	3
han	3
iv	2
lf	2
lin	3
rj	2
nb	2
fe	2
art	3
arl	3
nik	3
od	2
lb	2
kr	2
oč	2
dd	2
rg	2
f	1
ac	2
hu	2
ija	3
rd	2
arc	3
ia	2
cal	3
ica	3
erg	3
fre	3
in	2
ta	2
jen	3
čen	3
ric	3
ve	2
our	3
ob	2
ča	2
az	2
tr	2
hov	3
eje	3
iso	3
raz	3
fer	3
či	2
rat	3
ian	3
eng	3
čn	2
nge	3
enj	3
ak	2
s	1
lia	3
op	2
els	3
us	2
der	3
ev	2
et	2
rle	3
ies	3
eč	2
uc	2
že	2
iš	2
ker	3
rt	2
ova	3
ir	2
lje	3
šč	2
iče	3
eva	3
ač	2
lji	3
ns	2
vat	3
nd	2
spi	3
ma	2
nc	2
org	3
lja	3
oe	2
ten	3
anc	3
eso	3
rl	2
og	2
ln	2
še	2
tv	2
ed	2
čev	3
oj	2
ke	2
ež	2
bu	2
pri	3
ran	3
ok	2
dov	3
lm	2
ci	2
ite	3
val	3
ord	3
be	2
vi	2
ez	2
jiv	3
eti	3
pl	2
tn	2
rc	2
vn	2
ep	2
elj	3
joč	3
ec	2
cij	3
fr	2
ož	2
nja	3
dor	3
zi	2
ur	2
čno	3
ens	3
mor	3
rs	2
ži	2
sma	3
lt	2
št	2
n	1
rne	3
bro	3
ika	3
sk	2
oš	2
hal	3
aš	2
tič	3
olo	3
vl	2
urg	3
red	3
tov	3
mac	3
v	1
pod	3
no	2
ire	3
van	3
don	3
ake	3
rf	2
sin	3
eu	2
ri	2
oz	2
ičn	3
nh	2
nit	3
iko	3
age	3
ner	3
aci	3
ast	3
ms	2
kt	2
aln	3
xi	2
pro	3
inc	3
jat	3
tni	3
tvo	3
vr	2
eno	3
zn	2
ivo	3
g	1
lac	3
ša	2
nic	3
ajo	3
ovi	3
len	3
ši	2
can	3
uš	2
ža	2
ij	2
nka	3
ls	2
sko	3
nce	3
rav	3
ot	2
enb	3
ina	3
ji	2
dn	2
rov	3
nde	3
lov	3
šče	3
ali	3
kon	3
em	2
sti	3
lni	3
om	2
rge	3
stv	3
kl	2
ku	2
dr	2
eš	2
dv	2
oc	2
re	2
te	2
oče	3
zv	2
jan	3
nar	3
vlj	3
izi	3
ain	3
kan	3
tno	3
lka	3
lec	3
ndo	3
lno	3
zir	3
r	1
tir	3
rez	3
eta	3
u	1
tar	3
vos	3
lit	3
nč	2
me	2
sta	3
žen	3
di	2
ds	2
ih	2
vno	3
urn	3
zd	2
use	3
kar	3
ert	3
ins	3
let	3
js	2
rto	3
nič	3
šk	2
rep	3
až	2
arj	3
b	1
ae	2
tiv	3
ari	3
avl	3
čar	3
rka	3
kri	3
iča	3
zp	2
ote	3
ale	3
pra	3
sl	2
ino	3
log	3
vk	2
nep	3
ava	3
dt	2
niš	3
ček	3
etn	3
up	2
rek	3
aja	3
tav	3
cu	2
tri	3
pa	2
žn	2
kol	3
oti	3
ven	3
čit	3
vet	3
nk	2
gl	2
inj	3
vit	3
ht	2
lav	3
den	3
vz	2
uk	2
met	3
ad	2
tra	3
aso	3
kov	3
lju	3
mn	2
zer	3
lič	3
sv	2
tev	3
čk	2
išč	3
eče	3
tk	2
aje	3
spo	3
ogr	3
kro	3
mr	2
tik	3
obr	3
rič	3
ete	3
el	2
lip	3
nec	3
sr	2
tit	3
jn	2
ang	3
jsk	3
ato	3
raj	3
vka	3
zm	2
ekt	3
ist	3
oje	3
tes	3
epo	3
čni	3
zr	2
olj	3
rei	3
vič	3
kom	3
dra	3
ode	3
ine	3
hor	3
roc	3
tka	3
lik	3
okr	3
eh	2
išk	3
ove	3
epr	3
vni	3
bn	2
ovo	3
ora	3
než	3
ori	3
kra	3
rev	3
mur	3
jak	3
est	3
agn	3
dno	3
lek	3
ndr	3
ogo	3
pom	3
už	2
opa	3
oko	3
je	2
ško	3
ste	3
ede	3
osl	3
dp	2
vec	3
str	3
dni	3
šen	3
uh	2
tek	3
tan	3
kat	3
d	1
zas	3
ogi	3
ako	3
šn	2
tat	3
ače	3
zk	2
eka	3
eks	3
lk	2
al	2
opo	3
kop	3
eza	3
edn	3
ien	3
ort	3
kal	3
oto	3
oka	3
eni	3
ivn	3
tol	3
ret	3
ile	3
nav	3
ože	3
blj	3
riv	3
ska	3
rč	2
zg	2
pis	3
rit	3
pok	3
ml	2
iž	2
nad	3
ros	3
ču	2
riz	3
gel	3
lep	3
jav	3
mar	3
ese	3
oma	3
rja	3
iln	3
plj	3
vt	2
vod	3
ele	3
žev	3
pon	3
kor	3
eže	3
rni	3
liz	3
avo	3
pot	3
pop	3
edi	3
ome	3
odn	3
pn	2
rem	3
pol	3
zav	3
sla	3
vaj	3
zl	2
dvo	3
čin	3
obl	3
oh	2
rir	3
nev	3
uč	2
res	3
ć	1
ić	2
čan	3
omi	3
pog	3
ole	3
esn	3
jaj	3
vis	3
mat	3
eda	3
nir	3
era	3
neo	3
aka	3
ace	3
reč	3
oda	3
ita	3
šči	3
kti	3
alk	3
pla	3
ošk	3
pin	3
tor	3
šča	3
lat	3
rig	3
etl	3
de	2
ujo	3
odp	3
zap	3
avn	3
isk	3
ito	3
rač	3
tj	2
ram	3
nče	3
bit	3
e	1
kav	3
epe	3
čr	2
odi	3
ab	2
gu	2
ken	3
ura	3
oži	3
klj	3
raš	3
ug	2
nal	3
ple	3
zat	3
zem	3
emo	3
vč	2
ajs	3
ter	3
is	2
kre	3
reb	3
rok	3
vor	3
bar	3
sn	2
opi	3
cir	3
ola	3
akt	3
tre	3
men	3
zb	2
rv	2
por	3
io	2
eko	3
rie	3
erb	3
alt	3
šev	3
oči	3
rak	3
ts	2
obo	3
zna	3
rž	2
nji	3
oba	3
ume	3
ula	3
iu	2
ntr	3
rst	3
pet	3
cio	3
loš	3
slo	3
epi	3
sed	3
tve	3
lir	3
spr	3
čka	3
ivi	3
tel	3
iri	3
otr	3
uj	2
alj	3
set	3
reš	3
ovn	3
ion	3
ona	3
ezi	3
bi	2
ser	3
kv	2
opl	3
iza	3
jal	3
fra	3
rip	3
dob	3
lč	2
več	3
mas	3
med	3
stn	3
jk	2
sek	3
dit	3
ril	3
ves	3
ači	3
ved	3
sve	3
gra	3
ici	3
l	1
dk	2
ogl	3
anč	3
iva	3
nap	3
zak	3
ju	2
vš	2
esk	3
hr	2
rop	3
gol	3
nij	3
skr	3
nem	3
dem	3
zu	2
ilj	3
lom	3
ft	2
naj	3
nek	3
bas	3
klo	3
ol	2
šte	3
gos	3
esa	3
kul	3
sno	3
