ngram	ngram_length
w	1
ch	2
wa	2
sch	3
co	2
c	1
wi	2
ca	2
we	2
sc	2
cl	2
mc	2
wo	2
th	2
cha	3
ph	2
ric	3
cas	3
y	1
ha	2
car	3
jo	2
sha	3
au	2
sh	2
cr	2
ly	2
com	3
h	1
col	3
con	3
nic	3
p	1
har	3
ei	2
ein	3
ty	2
ott	3
cor	3
b	1
pr	2
j	1
ell	3
roc	3
q	1
qu	2
ou	2
yo	2
hol	3
che	3
chi	3
nie	3
cal	3
ros	3
po	2
ann	3
all	3
ll	2
ya	2
ea	2
ill	3
aa	2
sy	2
han	3
eri	3
z	1
pre	3
o	1
m	1
ho	2
da	2
n	1
bac	3
ji	2
ow	2
ry	2
arr	3
llo	3
ny	2
kh	2
lie	3
cat	3
que	3
ro	2
fre	3
he	2
za	2
gi	2
ma	2
lac	3
ne	2
ba	2
jen	3
rei	3
mac	3
bro	3
ai	2
nis	3
gat	3
fr	2
k	1
sz	2
x	1
ex	2
aus	3
š	1
v	1
isa	3
ste	3
al	2
iz	2
na	2
lin	3
rap	3
ec	2
bu	2
ko	2
i	1
f	1
raz	3
ral	3
vic	3
ed	2
can	3
rob	3
l	1
ge	2
bur	3
mor	3
pri	3
g	1
be	2
bas	3
od	2
u	1
gel	3
ob	2
aga	3
dan	3
č	1
bar	3
mur	3
ja	2
ke	2
gar	3
ni	2
bat	3
lle	3
ö	1
ors	3
ye	2
att	3
ky	2
ock	3
eso	3
cho	3
ž	1
hu	2
kr	2
ham	3
ken	3
ale	3
ars	3
kel	3
and	3
tas	3
ger	3
mar	3
her	3
mo	2
bla	3
pod	3
fer	3
agn	3
gre	3
a	1
br	2
pro	3
pos	3
bl	2
lu	2
rat	3
nep	3
fe	2
tr	2
ra	2
ada	3
lor	3
ka	2
fra	3
mag	3
du	2
sal	3
man	3
pit	3
kon	3
hal	3
pin	3
rog	3
pol	3
ri	2
bri	3
pl	2
vr	2
sl	2
elo	3
ave	3
eng	3
op	2
arc	3
old	3
ia	2
ian	3
lar	3
sk	2
št	2
ben	3
mol	3
ve	2
mon	3
zas	3
mos	3
hen	3
dv	2
ber	3
dar	3
os	2
mas	3
pra	3
ali	3
tru	3
bil	3
er	2
bra	3
dr	2
pi	2
mit	3
vz	2
neo	3
če	2
vol	3
pom	3
sa	2
spo	3
ek	2
rus	3
spi	3
nad	3
do	2
kom	3
pop	3
pov	3
nes	3
ru	2
lev	3
zap	3
kol	3
cu	2
je	2
le	2
bo	2
dor	3
dvo	3
us	2
lan	3
pok	3
sr	2
hr	2
šk	2
še	2
tri	3
ok	2
kri	3
nap	3
rum	3
tos	3
pog	3
san	3
sv	2
la	2
fri	3
ac	2
van	3
zav	3
og	2
pon	3
ned	3
te	2
zv	2
so	2
kar	3
obr	3
eks	3
ive	3
om	2
čr	2
in	2
ple	3
med	3
gri	3
zak	3
nez	3
že	2
ži	2
spr	3
nar	3
ur	2
up	2
nev	3
alo	3
ner	3
ak	2
ren	3
apo	3
nav	3
ši	2
mr	2
vs	2
ča	2
ag	2
odp	3
sp	2
bru	3
zm	2
sam	3
sla	3
of	2
rot	3
ga	2
zl	2
kro	3
jal	3
dra	3
ža	2
eno	3
nek	3
mel	3
se	2
zg	2
avt	3
šti	3
gol	3
shi	3
šp	2
ov	2
vel	3
ju	2
e	1
ml	2
obl	3
ker	3
tro	3
mer	3
pot	3
st	2
kor	3
zat	3
eu	2
kl	2
kam	3
gos	3
ala	3
rod	3
ša	2
gu	2
oz	2
gr	2
skr	3
eva	3
zb	2
um	2
vod	3
ods	3
rep	3
nen	3
ce	2
kre	3
kos	3
per	3
slo	3
zo	2
zal	3
opo	3
sre	3
ad	2
pla	3
nak	3
nam	3
av	2
len	3
fl	2
kop	3
sed	3
